,股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
0,688286,敏芯股份,20.0,53.75,53.75,45.88,46.21,8.96,7.85,9.61,-113.35,27954,140806824.0,44.79,2880604078,1914954959,1.688286,沪A,2022-12-14 13:01:08,2022-12-14
1,300812,易天股份,20.0,18.6,18.6,16.3,16.3,3.1,19.43,13.45,48.25,114649,208475950.8,15.5,2600671139,1097770121,0.300812,深A,2022-12-14 13:01:09,2022-12-14
2,300814,中富电路,16.01,19.2,19.83,17.0,17.0,2.65,21.19,17.44,37.2,93150,176998900.08,16.55,3375283200,844032000,0.300814,深A,2022-12-14 13:01:15,2022-12-14
3,688216,气派科技,15.97,28.4,28.5,24.81,25.31,3.91,8.6,7.52,-95.23,36512,98185792.0,24.49,3018068000,1206190600,1.688216,沪A,2022-12-14 13:01:16,2022-12-14
4,300736,百邦科技,12.1,17.51,17.96,15.42,15.62,1.89,5.95,3.09,-66.75,76338,129929226.0,15.62,2277453979,2245387706,0.300736,深A,2022-12-14 13:01:15,2022-12-14
5,300400,劲拓股份,12.06,17.37,17.65,15.69,15.69,1.87,4.79,12.57,44.5,87069,148321033.8,15.5,4214410146,3159952884,0.300400,深A,2022-12-14 13:01:15,2022-12-14
6,688428,诺诚健华-U,11.74,15.9,16.0,14.23,14.35,1.67,5.66,2.63,-25.22,130220,199194286.0,14.23,28052711087,3659241852,1.688428,沪A,2022-12-14 13:01:15,2022-12-14
7,002277,友阿股份,10.13,4.35,4.35,3.9,3.95,0.4,5.16,4.04,33.15,719962,304769093.49,3.95,6064651680,6064651680,0.002277,深A,2022-12-14 13:01:15,2022-12-14
8,002137,实益达,10.06,6.78,6.78,6.25,6.25,0.62,12.42,3.47,19.45,485036,319562091.56,6.16,3915482910,2648042680,0.002137,深A,2022-12-14 13:01:15,2022-12-14
9,002449,国星光电,10.06,9.41,9.41,8.65,8.78,0.86,4.79,7.33,39.65,293242,270933252.07,8.55,5819870160,5763063778,0.002449,深A,2022-12-14 13:01:15,2022-12-14
10,002094,青岛金王,10.05,4.38,4.38,3.92,3.98,0.4,8.02,3.16,62.4,553475,236629450.76,3.98,3026131265,3024186545,0.002094,深A,2022-12-14 13:01:09,2022-12-14
11,603933,睿能科技,10.05,11.83,11.83,10.97,10.97,1.08,2.34,5.35,35.93,47842,55507431.0,10.75,2490312006,2420858076,1.603933,沪A,2022-12-14 13:01:15,2022-12-14
12,600185,格力地产,10.03,9.54,9.54,9.54,9.54,0.87,0.11,0.25,-221.59,21463,20475435.0,8.67,17982955284,17982955284,1.600185,沪A,2022-12-14 13:01:16,2022-12-14
13,601022,宁波远洋,10.03,17.33,17.33,16.72,17.08,1.58,44.37,26.7,31.32,580678,998281084.0,15.75,22678615678,2267861578,1.601022,沪A,2022-12-14 13:01:14,2022-12-14
14,600602,云赛智联,10.02,8.89,8.89,7.99,7.99,0.81,6.65,2.18,59.92,714292,615754122.0,8.08,12158617015,9550553581,1.600602,沪A,2022-12-14 13:01:15,2022-12-14
15,001338,永顺泰,10.02,25.8,25.8,22.75,23.0,2.35,48.75,2.24,81.54,611502,1524971415.18,23.45,12944655517,3236163866,0.001338,深A,2022-12-14 13:01:15,2022-12-14
16,002846,英联股份,10.02,10.98,10.98,10.01,10.01,1.0,16.08,3.36,-330.07,358249,388120432.46,9.98,3496193527,2446439790,0.002846,深A,2022-12-14 13:01:15,2022-12-14
17,002374,中锐股份,10.02,5.6,5.6,5.01,5.05,0.51,9.01,3.13,222.81,960622,508706337.48,5.09,6092541185,5972307001,0.002374,深A,2022-12-14 13:01:15,2022-12-14
18,000610,西安旅游,10.02,14.39,14.39,13.0,13.15,1.31,16.7,1.93,-31.59,393197,547041845.13,13.08,3406802295,3387721055,0.000610,深A,2022-12-14 13:01:15,2022-12-14
19,002404,嘉欣丝绸,10.02,7.25,7.25,6.79,6.79,0.66,4.58,1.9,15.79,212387,150808971.34,6.59,4188133897,3361892084,0.002404,深A,2022-12-14 13:01:15,2022-12-14
20,600520,文一科技,10.01,14.94,14.94,14.56,14.56,1.36,22.14,4.92,57.37,350819,521344451.0,13.58,2366944200,2366944200,1.600520,沪A,2022-12-14 13:01:17,2022-12-14
21,603229,奥翔药业,10.01,29.12,29.12,27.82,28.01,2.65,9.66,8.07,49.56,388062,1118459577.0,26.47,11702358420,11702358420,1.603229,沪A,2022-12-14 13:01:16,2022-12-14
22,002845,同兴达,10.01,15.61,15.61,14.6,14.6,1.42,14.6,7.42,78.7,326522,504991494.14,14.19,5120704790,3491400519,0.002845,深A,2022-12-14 13:01:15,2022-12-14
23,600238,海南椰岛,10.01,16.82,16.82,14.75,15.2,1.53,13.34,1.88,-408.95,593628,963410519.0,15.29,7538724000,7484926576,1.600238,沪A,2022-12-14 13:01:15,2022-12-14
24,301089,拓新药业,10.01,94.33,97.69,91.78,93.08,8.58,11.38,3.26,81.42,87701,830578852.67,85.75,11885580000,7271055447,0.301089,深A,2022-12-14 13:01:15,2022-12-14
25,603311,金海高科,10.0,16.17,16.17,14.35,14.75,1.47,5.99,1.97,29.75,125774,196084559.0,14.7,3395700000,3395700000,1.603311,沪A,2022-12-14 13:00:51,2022-12-14
26,003005,竞业达,10.0,51.7,51.7,47.0,47.31,4.7,42.24,5.29,248.53,215604,1088998983.84,47.0,7672280000,2638963943,0.003005,深A,2022-12-14 13:01:15,2022-12-14
27,002771,真视通,10.0,11.88,11.88,10.7,10.71,1.08,11.33,4.77,-412.19,192041,222308704.0,10.8,2491997508,2013495224,0.002771,深A,2022-12-14 13:01:15,2022-12-14
28,001209,洪兴股份,10.0,17.6,17.6,15.81,15.81,1.6,18.95,2.05,530.65,70446,121682873.77,16.0,2314799872,654150218,0.001209,深A,2022-12-14 13:00:54,2022-12-14
29,000679,大连友谊,10.0,6.93,6.93,6.62,6.72,0.63,4.29,2.2,-53.47,152861,104274292.09,6.3,2469852000,2469852000,0.000679,深A,2022-12-14 13:01:09,2022-12-14
30,605108,同庆楼,9.99,36.65,36.65,33.05,33.05,3.33,4.22,1.72,81.38,34430,122858075.0,33.32,9529000000,2992650326,1.605108,沪A,2022-12-14 13:01:16,2022-12-14
31,003026,中晶科技,9.99,48.87,48.87,48.87,48.87,4.44,2.75,1.37,151.96,15222,74389523.04,44.43,4936743796,2700422198,0.003026,深A,2022-12-14 13:01:15,2022-12-14
32,603728,鸣志电器,9.99,32.26,32.26,29.13,29.61,2.93,1.86,2.04,63.52,77597,243871986.0,29.33,13551232380,13473324480,1.603728,沪A,2022-12-14 13:01:09,2022-12-14
