,股票名称,股票代码,时间,主力净流入,小单净流入,中单净流入,大单净流入,超大单净流入
0,宝鹰股份,002047,2022-12-14 09:31,0.0,259826.0,-259826.0,0.0,0.0
1,宝鹰股份,002047,2022-12-14 09:32,0.0,368133.0,-368133.0,0.0,0.0
2,宝鹰股份,002047,2022-12-14 09:33,0.0,368133.0,-368133.0,0.0,0.0
3,宝鹰股份,002047,2022-12-14 09:34,0.0,377128.0,-377128.0,0.0,0.0
4,宝鹰股份,002047,2022-12-14 09:35,-465290.0,532444.0,-67154.0,444567.0,-909857.0
5,宝鹰股份,002047,2022-12-14 09:36,-917784.0,907718.0,10066.0,28827.0,-946611.0
6,宝鹰股份,002047,2022-12-14 09:37,-1560197.0,1160382.0,399815.0,648562.0,-2208759.0
7,宝鹰股份,002047,2022-12-14 09:38,-1545339.0,1245756.0,299583.0,663420.0,-2208759.0
8,宝鹰股份,002047,2022-12-14 09:39,-1315431.0,1209311.0,106120.0,893328.0,-2208759.0
9,宝鹰股份,002047,2022-12-14 09:40,-1305656.0,1266960.0,38696.0,903103.0,-2208759.0
10,宝鹰股份,002047,2022-12-14 09:41,-1286497.0,1267401.0,19096.0,922262.0,-2208759.0
11,宝鹰股份,002047,2022-12-14 09:42,-1268120.0,1294888.0,-26768.0,940639.0,-2208759.0
12,宝鹰股份,002047,2022-12-14 09:43,-1152384.0,1347549.0,-195165.0,1056375.0,-2208759.0
13,宝鹰股份,002047,2022-12-14 09:44,-1152384.0,1498084.0,-345700.0,1056375.0,-2208759.0
14,宝鹰股份,002047,2022-12-14 09:45,-1152384.0,1553997.0,-401613.0,1056375.0,-2208759.0
15,宝鹰股份,002047,2022-12-14 09:46,-1152384.0,1462503.0,-310119.0,1056375.0,-2208759.0
16,宝鹰股份,002047,2022-12-14 09:47,-1203996.0,1514115.0,-310119.0,1004763.0,-2208759.0
17,宝鹰股份,002047,2022-12-14 09:48,-1285324.0,1595443.0,-310119.0,923435.0,-2208759.0
18,宝鹰股份,002047,2022-12-14 09:49,-1352967.0,1709732.0,-356765.0,855792.0,-2208759.0
19,宝鹰股份,002047,2022-12-14 09:50,-1359614.0,1690639.0,-331025.0,849145.0,-2208759.0
20,宝鹰股份,002047,2022-12-14 09:51,-1455947.0,1989772.0,-533825.0,752812.0,-2208759.0
21,宝鹰股份,002047,2022-12-14 09:52,-1455947.0,1965358.0,-509411.0,752812.0,-2208759.0
22,宝鹰股份,002047,2022-12-14 09:53,-1685267.0,1923628.0,-238361.0,523492.0,-2208759.0
23,宝鹰股份,002047,2022-12-14 09:54,-1695042.0,1956023.0,-260981.0,513717.0,-2208759.0
24,宝鹰股份,002047,2022-12-14 09:55,-1661892.0,2115927.0,-454035.0,1595577.0,-3257469.0
25,宝鹰股份,002047,2022-12-14 09:56,-1666975.0,2121010.0,-454035.0,1590494.0,-3257469.0
26,宝鹰股份,002047,2022-12-14 09:57,-1740874.0,2112799.0,-371925.0,1516595.0,-3257469.0
27,宝鹰股份,002047,2022-12-14 09:58,-1740874.0,2112799.0,-371925.0,1516595.0,-3257469.0
28,宝鹰股份,002047,2022-12-14 09:59,-1970974.0,2232529.0,-261555.0,1286495.0,-3257469.0
29,宝鹰股份,002047,2022-12-14 10:00,-2226034.0,2350753.0,-124719.0,1031435.0,-3257469.0
30,宝鹰股份,002047,2022-12-14 10:01,-1829404.0,2102743.0,-273339.0,896495.0,-2725899.0
31,宝鹰股份,002047,2022-12-14 10:02,-1786504.0,2079393.0,-292889.0,603995.0,-2390499.0
32,宝鹰股份,002047,2022-12-14 10:03,-1763494.0,2099002.0,-335508.0,603995.0,-2367489.0
33,宝鹰股份,002047,2022-12-14 10:04,-1724104.0,2061176.0,-337072.0,603995.0,-2328099.0
34,宝鹰股份,002047,2022-12-14 10:05,-1710454.0,2070204.0,-359750.0,603995.0,-2314449.0
35,宝鹰股份,002047,2022-12-14 10:06,-1483474.0,2003915.0,-520441.0,603995.0,-2087469.0
36,宝鹰股份,002047,2022-12-14 10:07,-1483474.0,2097128.0,-613654.0,603995.0,-2087469.0
37,宝鹰股份,002047,2022-12-14 10:08,-1483474.0,2120918.0,-637444.0,603995.0,-2087469.0
38,宝鹰股份,002047,2022-12-14 10:09,-1483474.0,2120918.0,-637444.0,603995.0,-2087469.0
39,宝鹰股份,002047,2022-12-14 10:10,-1483474.0,2175378.0,-691904.0,603995.0,-2087469.0
40,宝鹰股份,002047,2022-12-14 10:11,-1483474.0,2173901.0,-690427.0,603995.0,-2087469.0
41,宝鹰股份,002047,2022-12-14 10:12,-1483474.0,2151398.0,-667924.0,603995.0,-2087469.0
42,宝鹰股份,002047,2022-12-14 10:13,-1483474.0,2171678.0,-688204.0,603995.0,-2087469.0
43,宝鹰股份,002047,2022-12-14 10:14,-1483474.0,2174408.0,-690934.0,603995.0,-2087469.0
44,宝鹰股份,002047,2022-12-14 10:15,-1483474.0,2237815.0,-754341.0,603995.0,-2087469.0
45,宝鹰股份,002047,2022-12-14 10:16,-1483474.0,2196085.0,-712611.0,603995.0,-2087469.0
46,宝鹰股份,002047,2022-12-14 10:17,-1483474.0,2205055.0,-721581.0,603995.0,-2087469.0
47,宝鹰股份,002047,2022-12-14 10:18,-1483474.0,2217925.0,-734451.0,603995.0,-2087469.0
48,宝鹰股份,002047,2022-12-14 10:19,-1483474.0,2217586.0,-734112.0,603995.0,-2087469.0
49,宝鹰股份,002047,2022-12-14 10:20,-1483474.0,2218384.0,-734910.0,603995.0,-2087469.0
50,宝鹰股份,002047,2022-12-14 10:21,-1483474.0,2236324.0,-752850.0,603995.0,-2087469.0
51,宝鹰股份,002047,2022-12-14 10:22,-1483474.0,2276304.0,-792830.0,603995.0,-2087469.0
52,宝鹰股份,002047,2022-12-14 10:23,-1483474.0,2299704.0,-816230.0,603995.0,-2087469.0
53,宝鹰股份,002047,2022-12-14 10:24,-2378174.0,2997229.0,-619055.0,-290705.0,-2087469.0
54,宝鹰股份,002047,2022-12-14 10:25,-1390577.0,2658713.0,-1268136.0,696892.0,-2087469.0
55,宝鹰股份,002047,2022-12-14 10:26,-1174745.0,2286281.0,-1111536.0,912724.0,-2087469.0
56,宝鹰股份,002047,2022-12-14 10:27,-1174745.0,2286281.0,-1111536.0,912724.0,-2087469.0
57,宝鹰股份,002047,2022-12-14 10:28,-1174745.0,2291769.0,-1117024.0,912724.0,-2087469.0
58,宝鹰股份,002047,2022-12-14 10:29,-704345.0,2107980.0,-1403635.0,1383124.0,-2087469.0
59,宝鹰股份,002047,2022-12-14 10:30,-704345.0,2136676.0,-1432331.0,1383124.0,-2087469.0
60,宝鹰股份,002047,2022-12-14 10:31,-704345.0,2191025.0,-1486680.0,1383124.0,-2087469.0
61,宝鹰股份,002047,2022-12-14 10:32,-704345.0,2191025.0,-1486680.0,1383124.0,-2087469.0
62,宝鹰股份,002047,2022-12-14 10:33,-715713.0,2111057.0,-1395344.0,1371756.0,-2087469.0
63,宝鹰股份,002047,2022-12-14 10:34,-722377.0,2117721.0,-1395344.0,1365092.0,-2087469.0
64,宝鹰股份,002047,2022-12-14 10:35,-723161.0,2118505.0,-1395344.0,1364308.0,-2087469.0
65,宝鹰股份,002047,2022-12-14 10:36,-723161.0,2118505.0,-1395344.0,1364308.0,-2087469.0
66,宝鹰股份,002047,2022-12-14 10:37,-793329.0,2118505.0,-1325176.0,1294140.0,-2087469.0
67,宝鹰股份,002047,2022-12-14 10:38,-793329.0,2118505.0,-1325176.0,1294140.0,-2087469.0
68,宝鹰股份,002047,2022-12-14 10:39,-885057.0,2225673.0,-1340616.0,1202412.0,-2087469.0
69,宝鹰股份,002047,2022-12-14 10:40,-885841.0,2226457.0,-1340616.0,1201628.0,-2087469.0
70,宝鹰股份,002047,2022-12-14 10:41,-881931.0,2222547.0,-1340616.0,1205538.0,-2087469.0
71,宝鹰股份,002047,2022-12-14 10:42,-912521.0,2253137.0,-1340616.0,1174948.0,-2087469.0
72,宝鹰股份,002047,2022-12-14 10:43,-896881.0,2237497.0,-1340616.0,1190588.0,-2087469.0
73,宝鹰股份,002047,2022-12-14 10:44,-890244.0,2230860.0,-1340616.0,1197225.0,-2087469.0
74,宝鹰股份,002047,2022-12-14 10:45,-875388.0,2216004.0,-1340616.0,1212081.0,-2087469.0
75,宝鹰股份,002047,2022-12-14 10:46,-808527.0,2149143.0,-1340616.0,1278942.0,-2087469.0
76,宝鹰股份,002047,2022-12-14 10:47,-1223378.0,2507690.0,-1284312.0,864091.0,-2087469.0
77,宝鹰股份,002047,2022-12-14 10:48,-1223378.0,2507690.0,-1284312.0,864091.0,-2087469.0
78,宝鹰股份,002047,2022-12-14 10:49,-1223378.0,2507690.0,-1284312.0,864091.0,-2087469.0
79,宝鹰股份,002047,2022-12-14 10:50,-936775.0,2287557.0,-1350782.0,1150694.0,-2087469.0
80,宝鹰股份,002047,2022-12-14 10:51,-936775.0,2280927.0,-1344152.0,1150694.0,-2087469.0
81,宝鹰股份,002047,2022-12-14 10:52,-936775.0,2277807.0,-1341032.0,1150694.0,-2087469.0
82,宝鹰股份,002047,2022-12-14 10:53,-936775.0,2256357.0,-1319582.0,1150694.0,-2087469.0
83,宝鹰股份,002047,2022-12-14 10:54,-936775.0,2306277.0,-1369502.0,1150694.0,-2087469.0
84,宝鹰股份,002047,2022-12-14 10:55,-1200025.0,2347668.0,-1147643.0,887444.0,-2087469.0
85,宝鹰股份,002047,2022-12-14 10:56,-772271.0,2127038.0,-1354767.0,1315198.0,-2087469.0
86,宝鹰股份,002047,2022-12-14 10:57,-768362.0,2123129.0,-1354767.0,1319107.0,-2087469.0
87,宝鹰股份,002047,2022-12-14 10:58,-715186.0,2069953.0,-1354767.0,1372283.0,-2087469.0
88,宝鹰股份,002047,2022-12-14 10:59,-630341.0,2025772.0,-1395431.0,1457128.0,-2087469.0
89,宝鹰股份,002047,2022-12-14 11:00,-610791.0,2006222.0,-1395431.0,1476678.0,-2087469.0
90,宝鹰股份,002047,2022-12-14 11:01,-586552.0,1981983.0,-1395431.0,1500917.0,-2087469.0
91,宝鹰股份,002047,2022-12-14 11:02,-487901.0,1796268.0,-1308366.0,1599568.0,-2087469.0
92,宝鹰股份,002047,2022-12-14 11:03,-140710.0,1627188.0,-1486476.0,1946759.0,-2087469.0
93,宝鹰股份,002047,2022-12-14 11:04,-140710.0,1611959.0,-1471247.0,1946759.0,-2087469.0
94,宝鹰股份,002047,2022-12-14 11:05,-140710.0,1615656.0,-1474943.0,1946759.0,-2087469.0
95,宝鹰股份,002047,2022-12-14 11:06,566066.0,1136884.0,-1702947.0,2653535.0,-2087469.0
96,宝鹰股份,002047,2022-12-14 11:07,566066.0,1132403.0,-1698467.0,2653535.0,-2087469.0
97,宝鹰股份,002047,2022-12-14 11:08,566066.0,1113973.0,-1680037.0,2653535.0,-2087469.0
98,宝鹰股份,002047,2022-12-14 11:09,546416.0,1597768.0,-2144182.0,2633885.0,-2087469.0
99,宝鹰股份,002047,2022-12-14 11:10,546416.0,1723327.0,-2269741.0,2633885.0,-2087469.0
100,宝鹰股份,002047,2022-12-14 11:11,546416.0,1925963.0,-2472377.0,2633885.0,-2087469.0
101,宝鹰股份,002047,2022-12-14 11:12,546416.0,1816431.0,-2362845.0,2633885.0,-2087469.0
102,宝鹰股份,002047,2022-12-14 11:13,563315.0,1799532.0,-2362845.0,2650784.0,-2087469.0
