,股票名称,股票代码,日期,主力净流入,小单净流入,中单净流入,大单净流入,超大单净流入,主力净流入占比,小单流入净占比,中单流入净占比,大单流入净占比,超大单流入净占比,收盘价,涨跌幅
0,宝鹰股份,002047,2022-07-18,-4079909.0,10869480.0,-6789570.0,-9786775.0,5706866.0,-2.29,6.11,-3.82,-5.5,3.21,3.95,1.8
1,宝鹰股份,002047,2022-07-19,110865234.0,-57431038.0,-53434197.0,-5281534.0,116146768.0,21.27,-11.02,-10.25,-1.01,22.28,4.35,10.13
2,宝鹰股份,002047,2022-07-20,-86731281.0,52553643.0,34177638.0,-31293248.0,-55438033.0,-13.58,8.23,5.35,-4.9,-8.68,4.3,-1.15
3,宝鹰股份,002047,2022-07-21,19896365.0,-14676226.0,-5220138.0,8658895.0,11237470.0,3.56,-2.63,-0.93,1.55,2.01,4.35,1.16
4,宝鹰股份,002047,2022-07-22,-56751815.0,31642294.0,25109521.0,-33496962.0,-23254853.0,-14.1,7.86,6.24,-8.33,-5.78,4.18,-3.91
5,宝鹰股份,002047,2022-07-25,-11191718.0,5836416.0,5355302.0,888266.0,-12079984.0,-5.86,3.06,2.8,0.46,-6.32,4.13,-1.2
6,宝鹰股份,002047,2022-07-26,45938157.0,-38359961.0,-7578198.0,32122189.0,13815968.0,11.9,-9.93,-1.96,8.32,3.58,4.3,4.12
7,宝鹰股份,002047,2022-07-27,2366914.0,-8722463.0,6355549.0,-2804693.0,5171607.0,0.57,-2.11,1.54,-0.68,1.25,4.37,1.63
8,宝鹰股份,002047,2022-07-28,-22634251.0,14217150.0,8417102.0,-7464291.0,-15169960.0,-8.97,5.63,3.33,-2.96,-6.01,4.23,-3.2
9,宝鹰股份,002047,2022-07-29,-5934713.0,4615522.0,1319191.0,2951643.0,-8886356.0,-2.88,2.24,0.64,1.43,-4.31,4.13,-2.36
10,宝鹰股份,002047,2022-08-01,-36113808.0,17631961.0,18481848.0,-8184691.0,-27929117.0,-23.36,11.4,11.95,-5.29,-18.06,4.13,0.0
11,宝鹰股份,002047,2022-08-02,-23537776.0,19141090.0,4396685.0,-15938482.0,-7599294.0,-10.87,8.84,2.03,-7.36,-3.51,3.83,-7.26
12,宝鹰股份,002047,2022-08-03,4403399.0,2164212.0,-6567610.0,5206857.0,-803458.0,3.14,1.54,-4.68,3.71,-0.57,3.81,-0.52
13,宝鹰股份,002047,2022-08-04,-9061272.0,1775557.0,7285714.0,-5647237.0,-3414035.0,-11.43,2.24,9.19,-7.12,-4.31,3.83,0.52
14,宝鹰股份,002047,2022-08-05,-14777427.0,7549647.0,7227780.0,-13654229.0,-1123198.0,-15.57,7.95,7.61,-14.38,-1.18,3.78,-1.31
15,宝鹰股份,002047,2022-08-08,-10024385.0,7432385.0,2592000.0,1756990.0,-11781375.0,-10.9,8.08,2.82,1.91,-12.81,3.75,-0.79
16,宝鹰股份,002047,2022-08-09,3289342.0,-8478573.0,5189232.0,3374934.0,-85592.0,3.3,-8.5,5.2,3.38,-0.09,3.83,2.13
17,宝鹰股份,002047,2022-08-10,-768335.0,-4185718.0,4954052.0,-1630564.0,862229.0,-0.54,-2.93,3.46,-1.14,0.6,3.9,1.83
18,宝鹰股份,002047,2022-08-11,86456083.0,-29967865.0,-56488218.0,-7967273.0,94423356.0,17.18,-5.96,-11.23,-1.58,18.77,4.19,7.44
19,宝鹰股份,002047,2022-08-12,14057662.0,13056124.0,-27113785.0,-22633912.0,36691574.0,3.31,3.08,-6.39,-5.33,8.64,4.27,1.91
20,宝鹰股份,002047,2022-08-15,4717015.0,12586439.0,-17303453.0,371924.0,4345091.0,0.98,2.62,-3.61,0.08,0.91,4.47,4.68
21,宝鹰股份,002047,2022-08-16,107526299.0,-54506572.0,-53019735.0,-2651201.0,110177500.0,14.76,-7.48,-7.28,-0.36,15.12,4.92,10.07
22,宝鹰股份,002047,2022-08-17,-94284659.0,83507686.0,10776976.0,-94871163.0,586504.0,-8.37,7.41,0.96,-8.42,0.05,5.03,2.24
23,宝鹰股份,002047,2022-08-18,-31995689.0,15953095.0,16042594.0,-32081740.0,86051.0,-4.58,2.28,2.3,-4.59,0.01,5.15,2.39
24,宝鹰股份,002047,2022-08-19,-117395866.0,118952374.0,-1556507.0,-43397191.0,-73998675.0,-18.92,19.17,-0.25,-6.99,-11.93,4.73,-8.16
25,宝鹰股份,002047,2022-08-22,8475347.0,17835157.0,-26310506.0,13535295.0,-5059948.0,2.87,6.03,-8.9,4.58,-1.71,4.67,-1.27
26,宝鹰股份,002047,2022-08-23,57157313.0,-35756257.0,-21401056.0,15155541.0,42001772.0,15.06,-9.42,-5.64,3.99,11.06,5.14,10.06
27,宝鹰股份,002047,2022-08-24,-32113414.0,34134469.0,-2021056.0,-43087841.0,10974427.0,-4.53,4.81,-0.29,-6.08,1.55,5.08,-1.17
28,宝鹰股份,002047,2022-08-25,13253115.0,-6098497.0,-7154618.0,23598488.0,-10345373.0,4.25,-1.96,-2.3,7.57,-3.32,4.97,-2.17
29,宝鹰股份,002047,2022-08-26,46643265.0,-37142582.0,-9500683.0,-2129716.0,48772981.0,8.53,-6.79,-1.74,-0.39,8.92,5.1,2.62
30,宝鹰股份,002047,2022-08-29,-45277788.0,42112361.0,3165425.0,-25818652.0,-19459136.0,-13.04,12.13,0.91,-7.44,-5.6,4.92,-3.53
31,宝鹰股份,002047,2022-08-30,-10454969.0,18650267.0,-8195297.0,-1468273.0,-8986696.0,-3.92,7.0,-3.08,-0.55,-3.37,4.84,-1.63
32,宝鹰股份,002047,2022-08-31,-37322790.0,42604509.0,-5281720.0,-15601317.0,-21721473.0,-16.94,19.33,-2.4,-7.08,-9.86,4.62,-4.55
